Country Name,Country Code,62-67,67-72,72-77,77-82,82-87,87-92,92-97,97-02,02-07,07-12,12-17
Aruba,ABW,48.0,738.0,-1933.0,3549.0,-3273.0,19412.0,-7292.0,-663.0,-6704.0,1694.0,-249.0
Africa Eastern and Southern,AFE,24249.0,134790.0,-31429.0,-271188.0,355291.0,806891.0,-1872973.0,260386.0,-494092.0,35720.0,620650.0
Afghanistan,AFG,0.0,0.0,-1133959.0,-2191136.0,1819744.0,4601734.0,-3943923.0,1611733.0,-1790554.0,1568130.0,-836371.0
Africa Western and Central,AFW,-110180.0,-216418.0,7295.0,-650135.0,-53321.0,-42284.0,802542.0,-236659.0,-315977.0,-749361.0,578993.0
Angola,AGO,-290569.0,787086.0,0.0,34348.0,-45657.0,-45679.0,56988.0,61300.0,96201.0,-191034.0,-134201.0
Albania,ALB,0.0,0.0,0.0,0.0,0.0,-443113.0,263606.0,2832.0,-40584.0,80768.0,66592.0
Arab World,ARB,-335321.0,-85723.0,2565836.0,-1147021.0,-1060561.0,306785.0,-1483676.0,1922703.0,3576822.0,-3712807.0,-1456053.0
United Arab Emirates,ARE,15941.0,206665.0,111942.0,-188271.0,72479.0,111488.0,130268.0,691222.0,2402820.0,-3322436.0,-70000.0
Argentina,ARG,8000.0,12000.0,-372000.0,370000.0,20000.0,-265000.0,-23000.0,3000.0,5000.0,150000.0,-6000.0
Armenia,ARM,33064.0,-16995.0,-69190.0,-68444.0,-16298.0,-428760.0,272415.0,63352.0,-22840.0,152826.0,5546.0
Antigua and Barbuda,ATG,678.0,-5816.0,2590.0,665.0,873.0,5121.0,238.0,-2217.0,1635.0,-944.0,-943.0
Australia,AUS,421850.0,-546662.0,-23787.0,217828.0,200637.0,-303131.0,37341.0,200863.0,621520.0,-221427.0,-198146.0
Austria,AUT,34405.0,31600.0,-76499.0,12500.0,92997.0,116842.0,-162759.0,113035.0,-24354.0,113409.0,57826.0
Azerbaijan,AZE,-40000.0,-10466.0,0.0,-51102.0,-60000.0,46452.0,3267.0,148372.0,17056.0,-45080.0,-2497.0
Burundi,BDI,27089.0,-208596.0,116206.0,11144.0,-40858.0,-139997.0,-135303.0,430583.0,54725.0,-100005.0,80004.0
Belgium,BEL,8984.0,23692.0,2543.0,-55045.0,24078.0,64391.0,-56077.0,168690.0,74710.0,-35598.0,-18672.0
Benin,BEN,553.0,-1103.0,5452.0,8545.0,2125.0,76982.0,-71110.0,27856.0,-73781.0,6508.0,32268.0
Burkina Faso,BFA,0.0,-25540.0,-47137.0,0.0,33701.0,33698.0,12502.0,12499.0,0.0,0.0,0.0
Bangladesh,BGD,-19444.0,-2883465.0,1907943.0,343518.0,574463.0,-594431.0,93895.0,-772638.0,-1762241.0,947939.0,459336.0
Bulgaria,BGR,-4986.0,-36973.0,-51472.0,72522.0,-161797.0,-172321.0,222640.0,48324.0,1758.0,59270.0,471.0
Bahrain,BHR,-3838.0,27156.0,29839.0,-45728.0,9665.0,-7419.0,33700.0,116320.0,116500.0,-230000.0,197000.0
"Bahamas, The",BHS,56.0,-12980.0,2032.0,-2335.0,-1457.0,489.0,-2679.0,14878.0,2659.0,-9537.0,0.0
Bosnia and Herzegovina,BIH,-46956.0,14711.0,8115.0,44133.0,-104588.0,-606128.0,581432.0,153283.0,-53246.0,-199283.0,150603.0
Belarus,BLR,190972.0,-28439.0,1152.0,8816.0,-70135.0,-40036.0,119203.0,-62528.0,70315.0,8190.0,-28475.0
Belize,BLZ,-539.0,-7708.0,-2877.0,8210.0,-72.0,-3607.0,20920.0,-6112.0,2925.0,-1128.0,-1594.0
Bolivia,BOL,-2390.0,-3470.0,-13510.0,-33540.0,9410.0,12590.0,-12660.0,-13390.0,10020.0,10080.0,10100.0
Brazil,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15924.0,90076.0
Barbados,BRB,4283.0,6743.0,1386.0,-2308.0,1545.0,918.0,1750.0,455.0,2939.0,-148.0,0.0
Brunei Darussalam,BRN,4421.0,43.0,-2593.0,-4671.0,62.0,1086.0,-582.0,-3766.0,-2679.0,1356.0,901.0
Bhutan,BTN,5000.0,1.0,15.0,-9219.0,798.0,-60160.0,58708.0,6028.0,-17142.0,11271.0,1300.0
Botswana,BWA,-1762.0,28190.0,13752.0,-12541.0,41618.0,-22525.0,12147.0,-9515.0,0.0,-100066.0,88137.0
Central African Republic,CAF,1215.0,-63145.0,49000.0,41000.0,-120000.0,130000.0,-20000.0,-54405.0,-101209.0,-270515.0,196129.0
Canada,CAN,432426.0,146987.0,-337471.0,-46694.0,485278.0,-168662.0,92980.0,268478.0,274418.0,-85015.0,-31257.0
Central Europe and the Baltics,CEB,-282315.0,77217.0,-5696.0,-192764.0,-335423.0,-753997.0,404718.0,201999.0,-188924.0,187574.0,163884.0
Switzerland,CHE,-184174.0,-67793.0,-160550.0,216405.0,49817.0,116549.0,-182188.0,120907.0,158747.0,52395.0,-137268.0
Channel Islands,CHI,946.0,370.0,-2524.0,3654.0,705.0,-4915.0,1121.0,-778.0,4457.0,-2400.0,3184.0
Chile,CHL,-49600.0,35240.0,12960.0,-6220.0,85870.0,72260.0,15730.0,22990.0,64839.0,56561.0,394809.0
China,CHN,965725.0,-945477.0,1058475.0,-152996.0,-231651.0,-348331.0,396983.0,-1582579.0,-212807.0,626176.0,-189787.0
Cote d'Ivoire,CIV,0.0,192336.0,10280.0,24176.0,-108364.0,55866.0,-195000.0,-480000.0,100000.0,120000.0,40000.0
Cameroon,CMR,-1000.0,-1500.0,2500.0,-16500.0,-3000.0,-28500.0,0.0,-6000.0,0.0,18000.0,12000.0
"Congo, Dem. Rep.",COD,120289.0,-215489.0,73235.0,-551153.0,524983.0,1212591.0,-2245280.0,716610.0,198138.0,58486.0,104243.0
"Congo, Rep.",COG,0.0,0.0,-7407.0,9505.0,-98.0,20530.0,26772.0,2183.0,40286.0,-151771.0,40000.0
Colombia,COL,-32072.0,-41787.0,-38928.0,48378.0,46972.0,36050.0,28950.0,28000.0,36000.0,1620.0,1217361.0
Comoros,COM,2991.0,0.0,15500.0,-14500.0,0.0,1500.0,-3000.0,-4000.0,0.0,0.0,0.0
Cabo Verde,CPV,5434.0,-39174.0,6925.0,7669.0,-7444.0,21381.0,938.0,-4421.0,-1482.0,3312.0,1320.0
Costa Rica,CRI,-78.0,4811.0,4787.0,1451.0,-1459.0,51785.0,20325.0,-47735.0,-11453.0,-10681.0,1342.0
Caribbean small states,CSS,-35778.0,13920.0,13617.0,4959.0,-75773.0,105487.0,6281.0,53336.0,34330.0,51002.0,4396.0
Cuba,CUB,-44380.0,58423.0,30000.0,-110000.0,200001.0,-50007.0,-12833.0,-12790.0,-94371.0,160000.0,8000.0
Curacao,CUW,3226.0,-474.0,-8251.0,4787.0,-6083.0,3030.0,-5560.0,11007.0,21433.0,-8546.0,-4244.0
Cyprus,CYP,35182.0,10896.0,-4268.0,-26419.0,44801.0,26028.0,10065.0,4270.0,1128.0,-36149.0,2491.0
Czech Republic,CZE,-154098.0,139098.0,0.0,-62945.0,58617.0,24328.0,16003.0,1400.0,203487.0,-190892.0,50060.0
Germany,DEU,201951.0,-169534.0,-472837.0,-228871.0,1683714.0,944722.0,-1912515.0,108501.0,-781358.0,1895489.0,780536.0
Djibouti,DJI,7000.0,9997.0,56196.0,-81194.0,79999.0,-134998.0,54988.0,-18985.0,-3224.0,18223.0,-1501.0
Denmark,DNK,19610.0,1390.0,-8331.0,-5606.0,23520.0,32627.0,9102.0,-28262.0,41683.0,18852.0,-30843.0
Dominican Republic,DOM,-12682.0,-14652.0,-16274.0,-31004.0,-16368.0,-9684.0,-5992.0,-2407.0,-1220.0,773.0,3000.0
Algeria,DZA,161606.0,-132101.0,28603.0,143813.0,-12282.0,-35377.0,-35734.0,-40815.0,-152112.0,214072.0,93266.0
East Asia & Pacific (excluding high income),EAP,474784.0,-411624.0,-231444.0,815890.0,31274.0,-2497936.0,1796282.0,-4634188.0,-1285709.0,3125965.0,-22750.0
Early-demographic dividend,EAR,-1028622.0,-1431406.0,-1634379.0,6645055.0,-3222965.0,-5948898.0,-56657.0,-6719960.0,283666.0,-285388.0,2797372.0
East Asia & Pacific,EAS,2018393.0,-1519485.0,-741445.0,1279066.0,145564.0,-2550049.0,1849750.0,-4236913.0,-180468.0,3077942.0,-719342.0
Europe & Central Asia (excluding high income),ECA,452924.0,-870019.0,169799.0,356313.0,-1516985.0,-1689650.0,487803.0,2300395.0,984590.0,2164998.0,-1243589.0
Europe & Central Asia,ECS,-786232.0,1095982.0,-291796.0,-670011.0,233146.0,646287.0,-1176557.0,7982363.0,-331375.0,436025.0,-467491.0
Ecuador,ECU,3502.0,1.0,-1699.0,-6803.0,-2997.0,-2002.0,-50999.0,-50003.0,75003.0,6998.0,220001.0
"Egypt, Arab Rep.",EGY,-189600.0,-319479.0,-36115.0,202364.0,180746.0,-248220.0,249505.0,136435.0,-209109.0,2629.0,90780.0
Euro area,EMU,-659833.0,1888498.0,-428665.0,-877570.0,1490517.0,1865971.0,-1736354.0,4944968.0,-3107881.0,-578208.0,836332.0
Eritrea,ERI,-1998.0,5001.0,0.0,0.0,-50000.0,-274772.0,184774.0,357288.0,-307299.0,-165991.0,46710.0
Spain,ESP,47871.0,242926.0,-20087.0,-120195.0,-24388.0,386950.0,611802.0,1977137.0,-634361.0,-2794290.0,720442.0
Estonia,EST,-2024.0,-10623.0,-71.0,-4610.0,-10403.0,-127373.0,110679.0,-17209.0,3255.0,4635.0,30071.0
Ethiopia,ETH,-22183.0,-17415.0,-2052775.0,2360918.0,517447.0,691950.0,-1613520.0,5576.0,99869.0,450129.0,-249995.0
European Union,EUU,-838311.0,1794714.0,-377846.0,-1138118.0,1325869.0,1619279.0,-1638544.0,5232561.0,-3086013.0,-390318.0,904385.0
Fragile and conflict affected situations,FCS,-461743.0,-444814.0,-695173.0,-4240892.0,824628.0,8512938.0,-8319420.0,2698491.0,-3050356.0,-1074839.0,-3186305.0
Finland,FIN,-32953.0,126817.0,-58257.0,55558.0,-7913.0,28955.0,-25069.0,9781.0,25623.0,23858.0,-11416.0
Fiji,FJI,-10824.0,-866.0,-7085.0,9553.0,-54319.0,33193.0,-4889.0,-19906.0,34907.0,-28259.0,20942.0
France,FRA,-926256.0,51459.0,-284643.0,33141.0,-15187.0,-154213.0,71461.0,732852.0,-480363.0,-22289.0,-241195.0
"Micronesia, Fed. Sts.",FSM,-25.0,-7963.0,7654.0,325.0,-2347.0,240.0,-11126.0,504.0,6.0,9279.0,0.0
Gabon,GAB,6778.0,-13189.0,2000.0,0.0,0.0,0.0,4567.0,15254.0,38878.0,36619.0,-84016.0
United Kingdom,GBR,-227921.0,191268.0,-67296.0,-136614.0,196253.0,106685.0,307918.0,478862.0,1197181.0,-889173.0,3019.0
Georgia,GEO,-11084.0,-158626.0,-22019.0,47618.0,4168.0,-548195.0,-61743.0,505260.0,28526.0,24471.0,45340.0
Ghana,GHA,-290133.0,117133.0,-316839.0,447500.0,-27661.0,24000.0,-110999.0,152001.0,124998.0,-200000.0,0.0
Guinea,GIN,0.0,-87571.0,-69124.0,73372.0,83323.0,-134975.0,-46124.0,-168899.0,38576.0,17673.0,273749.0
"Gambia, The",GMB,8121.0,1000.0,177.0,303.0,45714.0,-57977.0,-7190.0,6087.0,-16953.0,0.0,0.0
Guinea-Bissau,GNB,12771.0,-7769.0,-64368.0,49366.0,1997.0,-1995.0,-11168.0,13235.0,10430.0,10497.0,9.0
Equatorial Guinea,GNQ,2003.0,-75001.0,40002.0,94997.0,-44999.0,2.0,14999.0,15002.0,29998.0,9998.0,-10001.0
Greece,GRC,69565.0,207897.0,276597.0,-197127.0,78646.0,280291.0,-161747.0,-183845.0,-484355.0,208970.0,81799.0
Grenada,GRD,-281.0,-2028.0,-1447.0,12620.0,-14603.0,10979.0,246.0,453.0,-15.0,2526.0,0.0
Guatemala,GTM,-30958.0,-96260.0,-120990.0,-24555.0,-16835.0,-67560.0,-34857.0,121276.0,166819.0,64100.0,4058.0
Guam,GUM,1463.0,-689.0,620.0,1620.0,-10.0,1640.0,-5855.0,-5440.0,-220.0,2182.0,5062.0
Guyana,GUY,-27890.0,-11803.0,2021.0,-44999.0,-5308.0,44781.0,-28780.0,23398.0,13171.0,15079.0,4998.0
High income,HIC,288007.0,3012450.0,108660.0,-649732.0,1749780.0,2317968.0,3203855.0,4633835.0,4719479.0,-5094095.0,-2117491.0
"Hong Kong SAR, China",HKG,98975.0,2380.0,316517.0,-229882.0,60657.0,-64776.0,219197.0,-310886.0,24950.0,-14855.0,71650.0
Honduras,HND,-11998.0,-4999.0,-5000.0,-10999.0,-12000.0,-4001.0,13001.0,22999.0,16999.0,-5000.0,-4000.0
Heavily indebted poor countries (HIPC),HPC,105843.0,-889218.0,-1897068.0,-2356347.0,2369881.0,5379909.0,-5838012.0,1620730.0,-3121475.0,1986734.0,1419198.0
Croatia,HRV,-3079.0,-17178.0,37084.0,35688.0,-28224.0,-169724.0,-44550.0,185549.0,-7919.0,-27994.0,-1511.0
Haiti,HTI,-6006.0,-29997.0,-9999.0,-27000.0,-10002.0,-5000.0,-4997.0,4999.0,1995.0,-11996.0,-25000.0
Hungary,HUN,-5984.0,-40150.0,37459.0,-128840.0,24246.0,191534.0,-21418.0,-16973.0,-36439.0,4849.0,0.0
IBRD only,IBD,-67061.0,982264.0,-1616436.0,3320591.0,-3301355.0,-5430667.0,1055128.0,-2182066.0,-782641.0,9416625.0,-3877784.0
IDA & IBRD total,IBT,-210068.0,-3323674.0,10954.0,757856.0,-2187991.0,-2168876.0,-3212216.0,-4339682.0,-4471973.0,4940255.0,2504560.0
IDA total,IDA,-143007.0,-4305938.0,1627390.0,-2562735.0,1113364.0,3261791.0,-4267344.0,-2157616.0,-3689332.0,-4476370.0,6382344.0
IDA blend,IDB,94928.0,-360852.0,1521002.0,-687569.0,-927583.0,-1270869.0,1046557.0,-1351254.0,444464.0,-827015.0,50438.0
Indonesia,IDN,106097.0,-47786.0,-129533.0,96337.0,-213798.0,-296694.0,-32259.0,-1081984.0,-184030.0,879238.0,-40330.0
IDA only,IDX,-237935.0,-3945086.0,106388.0,-1875166.0,2040947.0,4532660.0,-5313901.0,-806362.0,-4133796.0,-3649355.0,6331906.0
India,IND,-257455.0,2448887.0,-994805.0,-531528.0,-534558.0,-598098.0,-129621.0,-1206417.0,-766858.0,305769.0,-313359.0
Ireland,IRL,48559.0,101613.0,7430.0,-112694.0,-65018.0,110573.0,100253.0,116588.0,-4182.0,-309104.0,229839.0
"Iran, Islamic Rep.",IRN,59593.0,25878.0,325686.0,1604351.0,-510442.0,-2395651.0,680073.0,169906.0,-528456.0,74555.0,227347.0
Iraq,IRQ,-5015.0,-1710.0,-39204.0,-152148.0,-447725.0,493638.0,136167.0,-248461.0,-835797.0,2405724.0,-1264436.0
Iceland,ISL,-2025.0,1696.0,-2868.0,4189.0,386.0,-1700.0,2074.0,1920.0,9067.0,-14170.0,4063.0
Israel,ISR,-137056.0,93439.0,-103333.0,-59942.0,62814.0,386139.0,-206223.0,-142399.0,170700.0,-254138.0,30505.0
Italy,ITA,-1254.0,251177.0,145531.0,99872.0,-274857.0,162883.0,-451062.0,1962580.0,-613395.0,586421.0,-892656.0
Jamaica,JAM,-5803.0,58707.0,-7449.0,27399.0,-75850.0,36866.0,16789.0,1234.0,4726.0,30661.0,0.0
Jordan,JOR,219720.0,-285141.0,-51052.0,162415.0,88945.0,241870.0,-562621.0,56239.0,743905.0,406764.0,-1005660.0
Japan,JPN,974054.0,-107766.0,-509931.0,-155004.0,-348341.0,344625.0,-146619.0,264532.0,113381.0,80553.0,-333.0
Kazakhstan,KAZ,-520777.0,-301444.0,-307161.0,1994.0,-241019.0,-765109.0,177884.0,1306042.0,-79726.0,195003.0,-249807.0
Kenya,KEN,465.0,1620.0,14985.0,6735.0,1218.0,216546.0,-242955.0,46530.0,-214474.0,139330.0,0.0
Kyrgyz Republic,KGZ,1078.0,-116250.0,-33774.0,-8323.0,-72721.0,-149366.0,248981.0,-145643.0,96307.0,-16749.0,73353.0
Cambodia,KHM,-248418.0,123418.0,40001.0,-3855.0,10832.0,487436.0,-60919.0,-383651.0,-260831.0,145988.0,0.0
Kiribati,KIR,-131.0,-203.0,-1222.0,-669.0,2347.0,-3771.0,1634.0,863.0,1643.0,-3828.0,124.0
"Korea, Rep.",KOR,-12708.0,-128094.0,44803.0,258027.0,77689.0,-99163.0,88010.0,-78205.0,-237769.0,557729.0,-342526.0
Kuwait,KWT,9600.0,-50764.0,45264.0,-25760.0,4428.0,-774768.0,897000.0,-215500.0,453000.0,100500.0,-382400.0
Latin America & Caribbean (excluding high income),LAC,-413214.0,-518542.0,-962442.0,-5070.0,-573400.0,-454408.0,-345526.0,-497890.0,1565228.0,1248596.0,2865534.0
Lao PDR,LAO,-46.0,16.0,-198802.0,163646.0,35248.0,-60705.0,-74179.0,-13354.0,37842.0,-2055.0,38795.0
Lebanon,LBN,-90002.0,60002.0,-275201.0,70823.0,86340.0,518039.0,-419429.0,579538.0,-576992.0,1219236.0,-1342414.0
Liberia,LBR,0.0,3000.0,953.0,-11949.0,-359708.0,69708.0,752952.0,-512952.0,225585.0,-150585.0,-50000.0
